Title,Id,Year,Seasons,Maturity Rating,Genre,Synopsis
,81313531,2023,1,U/A 16+ ,Drama,"In the cartel-run town of Gulaabgunj, an unprecedented opium deal pulls a big-city cop and a lovesick mechanic into its chaotic clutches."
,80192098,2017,5,A ,Thrillers,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
,81671440,2023,1,U/A 13+ ,Romance,"Amid a tense inheritance fight, a charming heir clashes with his hardworking employee who's known for her irresistible smile — which he cannot stand."
,80057918,2016,6,U/A 16+ ,Drama,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
,81231974,2022,1,U/A 13+ ,Fantasy,"Smart, sarcastic and a little dead inside, Wednesday Addams investigates a murder spree while making new friends — and foes — at Nevermore Academy."
,80189685,2019,3,A ,Fantasy,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts."
,80002479,2013,6,A ,Drama,"A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost."
,80197526,2019,3,A ,Comedies,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mother. So rebel Maeve proposes a school sex-therapy clinic."
,81183491,2020,2,A ,Thrillers,"A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme — and a cop wants to fight it."
,80179190,2020,4,U/A 13+ ,Comedies,"After a traumatic year, an Indian-American teen just wants to spruce up her social status — but friends, family and feelings won’t make it easy on her."
,81076756,2019,2,A ,Drama,"Following the police force as they investigate high-profile crimes in Delhi, this series has seasons inspired by both real and fictional events."
,81183494,2020,2,A ,Drama,An undercover assignment to expose a drug ring becomes a timid Mumbai constable’s road to empowerment as she realizes her dormant sexuality's potential.
,81479822,2023,2,A ,Drama,"Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories."""
,81383247,2023,1,U/A 7+ ,Kids,"After a guardian of magical jewels turns an awkward girl and a popular boy into superheroes, they can never reveal their identities — even to each other."
,80241318,2018,4,U/A 16+ ,Drama,"When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange new realities."
,80237245,2023,1,U/A 7+ ,Kids,"A stick-wielding monkey teams with a young girl on an epic quest for immortality, battling demons, dragons, gods — and his own ego — along the way."
,80025172,2015,3,A ,Drama,The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.
,81040344,2021,1,A ,Thrillers,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
,80057281,2016,4,U/A 16+ ,Sci-Fi,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
,80200575,2020,2,A ,Thrillers,"An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive."
,81290872,2022,1,U/A 13+ ,Drama,"As a righteous cop pursues a merciless criminal in Bihar, he finds himself navigating a deadly chase and a moral battle mired in corruption."
,81323551,2020,2,U/A 16+ ,Action,"Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans."
,80130521,2017,4,U/A 7+ ,Kids,"After stumbling into a school for witches, a bumbling heroine comes to realize that she just might belong there. Based on Jill Murphy's beloved books."
,80232926,2020,3,U/A 16+ ,Drama,"In a Norwegian town poisoned by pollution and rattled by melting glaciers, the End Times feel all too real. It’ll take a legend to battle an old evil."
,81009646,2020,5,U/A 7+ ,Kids,Six teens invited to attend a state-of-the-art adventure camp on Isla Nublar must band together to survive when the dinosaurs break out of captivity.
,81025696,2021,2,A ,Drama,"Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy."
,80115328,2018,2,A ,Drama,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
,81090319,2020,2,A ,Thrillers,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her."
,81214929,2023,1,U/A 13+ ,Documentaries,Travel around the world with author Dan Buettner to discover five unique communities where people live extraordinarily long and vibrant lives.
,80104198,2018,3,U/A 7+ ,Sci-Fi,"After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers."
